Site,Year,Month,EPFU,EPFULANO,LABO,LABOMYLU,LABOPESU,LACI,LACILANO,LANO,MYLU,MYLUMYSE,MYSE,PESU,40kMyo,HIGH FREQUENCY,LOW FREQUENCY,NoID,FB,SC,Noise
Coastline-KejiSeaside,2025,August,0,0,3,24,5,0,2,5,58,3,4,8,0,0,0,0,0,0,2373
Coastline-KejiSeaside,2025,July,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,10
Coastline-KejiSeaside,2025,October,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,170
Coastline-KejiSeaside,2025,September,3,0,2,6,2,0,2,3,18,1,0,1,0,3,0,0,0,0,1586
Coastline-Main a Dieu,2025,August,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,191
Coastline-Main a Dieu,2025,September,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,99
Coastline_HartlenPoint,2025,June,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,201
Coastline_HartlenPoint,2025,May,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,205
Coastline_HartlenPoint,2025,October,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
Coastline_HartlenPoint,2025,September,0,0,1,13,0,4,2,5,7,0,0,1,0,9,0,0,0,0,259
Coastline_NeilsHarbour,2025,August,0,0,2,2,1,0,0,0,11,0,0,0,0,1,0,0,0,0,439
Coastline_NeilsHarbour,2025,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397
Coastline_NeilsHarbour,2025,September,0,0,3,1,2,6,3,0,1,0,0,0,0,0,0,0,0,0,606
DFO-Cartier,2025,August,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1342
DFO-Cartier,2025,July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3392
DFO-Discovery,2024,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7335
DFO-Discovery,2024,October,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,31581
Harbour-PinkneyPoint,2025,August,0,0,2,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,505
Harbour-PinkneyPoint,2025,September,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,226
Harbour-SwimsPoint,2025,August,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,64
Harbour-SwimsPoint,2025,September,0,0,3,0,1,0,2,38,0,0,0,0,0,0,0,0,0,0,63
Lighthouse_CapeGeorge,2025,August,1,0,6,1,0,24,3,0,3,0,0,1,6,4,2,1,0,0,17131
Lighthouse_CapeGeorge,2025,July,0,0,1,2,0,3,0,1,2,0,0,0,2,2,1,1,0,0,14547
Lighthouse_CapeGeorge,2025,June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,267
Lighthouse_PrimPoint,2025,April,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,92
Lighthouse_PrimPoint,2025,August,2,8,6,4,8,24,16,15,8,0,0,1,10,3,1,1,0,0,181
Lighthouse_PrimPoint,2025,July,0,2,5,2,0,5,4,2,4,0,0,0,18,3,0,1,0,0,103
Lighthouse_PrimPoint,2025,June,3,3,0,3,0,404,29,9,0,0,0,0,0,1,7,21,0,0,145
Lighthouse_PrimPoint,2025,May,0,2,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,267
Lighthouse_PrimPoint,2025,October,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,13
Lighthouse_PrimPoint,2025,September,1,4,8,1,12,8,3,20,16,1,3,0,0,5,1,0,0,0,164
NB-GOM-ISL-O-MachiasSealIsland,2025,August,4,0,43,0,0,3,0,69,13,0,0,3,0,2,75,0,15,0,592
NB-GOM-ISL-O-MachiasSealIsland,2025,December,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2102
NB-GOM-ISL-O-MachiasSealIsland,2025,July,0,0,0,0,0,6,0,2,2,0,0,0,0,0,1,0,1,0,279
NB-GOM-ISL-O-MachiasSealIsland,2025,June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538
NB-GOM-ISL-O-MachiasSealIsland,2025,November,0,0,3,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1556
NB-GOM-ISL-O-MachiasSealIsland,2025,October,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1883
NB-GOM-ISL-O-MachiasSealIsland,2025,September,2,0,14,0,0,1,0,115,1,0,0,2,0,2,51,0,26,0,1116
NRCAN-Coriolis,2025,June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8999
